id	x	y	impact	start	end
CN-01	4955935	3699332	234	0	3
CN-02	4955720	3701287	234	20	23
CN-03	4956021	3702863	234	40	43
CN-04	4957683	3691833	234	60	63
CN-05	4957730	3693604	234	80	83
CN-06	4957797	3695405	234	100	103
CN-07	4957678	3697347	234	120	123
CN-08	4957739	3699360	234	140	143
CN-09	4957644	3701118	234	160	163
CN-10	4957790	3702801	234	180	183
CN-11	4959786	3693796	234	200	203
CN-12	4959541	3695390	234	220	223
CN-13	4959682	3697375	234	240	243
CN-14	4959473	3699253	234	260	263
CN-15	4959440	3701264	234	280	283
CN-16	4959524	3703030	234	300	303
CN-17	4961634	3695686	234	320	323
CN-18	4961507	3697554	234	340	343
CN-19	4961318	3699142	234	360	363
CN-20	4961302	3701047	234	380	383
CN-21	4961430	3702885	234	400	403
CN-22	4961593	3704774	234	420	423
CN-23	4963430	3697285	234	440	443
CN-24	4963145	3699372	234	460	463
CN-25	4963405	3701197	234	480	483
CN-26	4963429	3702812	234	500	503
CN-27	4963276	3704685	234	520	523
CN-28	4965330	3699244	234	540	543
CN-29	4965045	3701191	234	560	563
CN-30	4965283	3702993	234	580	583
CN-31	4965287	3704825	234	600	603
CN-32	4967011	3701207	234	620	623
CN-33	4966943	3702813	234	640	643
CN-34	4966966	3704702	234	660	663
CN-35	4968801	3702943	234	680	683
