tick	day	mean_energy	std_energy	min_energy	max_energy	pct_hungry	pct_starving
5280	110	16.04	0.76	13.30	18.03	0.0	0.0
5328	111	16.02	0.77	13.22	18.13	0.0	0.0
5376	112	16.00	0.78	13.10	18.15	0.0	0.0
5424	113	15.98	0.78	13.03	18.16	0.0	0.0
5472	114	15.96	0.79	12.98	18.13	0.0	0.0
5520	115	15.95	0.80	12.92	18.08	0.0	0.0
5568	116	15.93	0.81	12.90	17.95	0.0	0.0
5616	117	15.92	0.82	12.90	18.27	0.0	0.0
5664	118	15.91	0.82	12.97	18.18	0.0	0.0
5712	119	15.89	0.83	13.07	18.03	0.0	0.0
5760	120	15.88	0.83	12.99	17.95	0.0	0.0
5808	121	15.83	0.84	12.88	18.09	0.0	0.0
5856	122	15.79	0.84	12.78	18.11	0.0	0.0
5904	123	15.75	0.85	12.68	17.93	0.0	0.0
5952	124	15.72	0.86	12.60	18.08	0.0	0.0
6000	125	15.68	0.87	12.50	17.99	0.0	0.0
6048	126	15.65	0.88	12.39	17.92	0.0	0.0
6096	127	15.62	0.89	12.28	17.90	0.0	0.0
6144	128	15.58	0.90	12.18	17.91	0.0	0.0
6192	129	15.54	0.91	12.07	17.95	0.0	0.0
6240	130	15.51	0.92	11.99	17.78	0.0	0.0
6288	131	15.49	0.94	11.95	17.96	0.0	0.0
6336	132	15.46	0.95	11.83	17.89	0.0	0.0
6384	133	15.43	0.96	11.63	17.88	0.0	0.0
6432	134	15.40	0.97	11.44	17.92	0.0	0.0
6480	135	15.37	0.98	11.24	17.85	0.0	0.0
6528	136	15.34	0.99	11.05	18.08	0.0	0.0
6576	137	15.31	1.00	10.85	18.10	0.0	0.0
6624	138	15.29	1.02	10.66	18.12	0.0	0.0
6672	139	15.27	1.03	10.44	17.94	0.0	0.0
6720	140	15.24	1.04	10.15	17.89	0.0	0.0
6768	141	15.23	1.05	9.89	17.96	0.1	0.0
6816	142	15.21	1.06	9.65	17.88	0.1	0.0
6864	143	15.19	1.07	9.38	17.86	0.2	0.0
6912	144	15.17	1.09	9.11	17.92	0.3	0.0
6960	145	15.15	1.10	8.84	18.01	0.3	0.0
7008	146	15.14	1.11	8.72	18.21	0.3	0.0
7056	147	15.12	1.12	8.72	18.02	0.3	0.0
7104	148	15.11	1.14	8.68	17.93	0.3	0.0
7152	149	15.10	1.15	8.48	17.78	0.3	0.0
